Titre;Artiste;Label;Time;Event;Annee_Sortie;Longueur;Genre;Distributeur;Nombre_Pistes;Reedition
MONTAGNES RUSSES;LUJIPEKA;ROMANCE MUSIQUE;51;0;2021;00:44:40;Rap français;Universal music france;17;0
A TOUS LES BATARDS;EDDY DE PRETTO;ROMANCE MUSIQUE;20;1;2021;01:06:00;Variété française;Universal music france;19;0
ON LÂCHE PAS L'AFFAIRE;BENABAR;RCA GROUP;5;1;2021;00:50:53;Variété française;Sony music entertainment;14;0
AN EVENING WITH SILK SONIC;SILK SONIC;WEA / ATLANTIC RECORDS;10;1;2021;00:36:26;Soul;Warner music france;10;0
HEAVEN & HELL;AVA MAX;WEA / ATLANTIC RECORDS;48;1;2020;00:47:39;Pop dance;Warner music france;16;1
TOUJOURS NOUS-MÊMES;HORNET LA FRAPPE;REC. 118 / DIEZ PEUFRA;14;1;2021;00:47:48;Rap français;Warner music france;17;0
LA MEMOIRE DU FEU;EZ3KIEL;VIRGIN RECORDS FRANCE / KIKA;2;1;2022;00:46:10;Alternative;Universal music france;11;0
CERTIFIED LOVER BOY;DRAKE;ISLAND DEF JAM / UNIVERSAL MUSIC;43;1;2021;01:26:02;Hip-hop;;21;0
PENSO A TE;CLAUDIO CAPEO;JO & CO;7;1;2020;01:21:00;Variété française;Sony music entertainment;23;1
RUPTURE 2 MERDE;THERAPIE TAXI;PANENKA;46;1;2021;00:22:51;Pop;Wagram;7;0
A-ONE;LANDY;BELIEVE / 109 RECORD / ALLPOINTS;48;1;2020;00:52:59;Rap français;Believe;18;0
LMF;FREEZE CORLEONE;VIRGIN RECORDS FRANCE / MANGEMORT SQUAD;46;1;2020;01:05:00;Rap français;Universal music france;17;0
C'EST PAS DES LOL;JUL;BELIEVE / D'OR ET DE PLATINE;47;1;2019;02:11:00;Pop urbaine;Believe;38;0
AVEC LE TEMPS;SOSO MANESS;RCA GROUP;36;1;2021;00:52:10;Rap français;Sony music entertainment;17;0
1PLIKTOI;1PLIKE140;CAPITOL MUSIC FRANCE / MILLENIUM;20;1;2020;00:33:42;Rap français;Universal music france;10;0
A;CAMILLE LELLOUCHE;BELEM;4;1;2021;00:50:00;Variété française;Wagram;15;0
BTS THE BEST;BTS;ISLAND DEF JAM / UNIVERSAL MUSIC;2;1;2021;01:28:55;K-pop;Universal music france;22;0
LA CAVALE;NOLWENN LEROY;POLYDOR;3;1;2021;00:40:45;Variété française;Universal music france;11;0
LEGENDE;47TER;LABEL ENTRECÔTE;18;1;2021;00:56:33;Rap français;Sony music entertainment;19;1
VINTAGE;SOOLKING;CAPITOL MUSIC FRANCE / CAPITOL;18;1;2020;01:20:39;Pop urbaine;Universal music france;26;1
LA PART DES LIONS;KYO;RCA GROUP;3;1;2021;00:39:40;Variété française;Sony music entertainment;12;0
SPECTRE;OGEE;MCA / E47 RECORDS;3;1;2021;00:43:35;Pop;Universal music france;14;0
CE MONDE EST CRUEL;VALD;CAPITOL MUSIC FRANCE / MILLENIUM;11;1;2019;00:56:29;Rap français;Universal music france;16;0
DANS LES MAINS;ZKR;BELIEVE / MORNING GLORY MUSIC / ALL ROAD / ALLPOINTS;12;1;2021;01:13:00;Rap français;Believe;21;0
STILL RISING - THE COLLECTION;GREGORY PORTER;DECCA RECORDS FRANCE / BLUE NOTE;11;1;2021;02:18:00;Jazz;Universal music france;34;0
TRAÎTRISE;LA ZARRA;POLYDOR / UNIVERSAL MUSIC;16;1;2021;00:43:02;Variété française;Universal music france;14;0
BARN;NEIL YOUNG AND CRAZY HORSE;WEA / REPRISE;2;1;2021;00:43:00;Rock;Warner music france;10;0
PLUS GRANDIR - BEST OF 1986 / 1996;MYLENE FARMER;POLYDOR;9;1;2021;01:40:32;Pop;Universal music france;23;0
MVP REEDITION;MISTER V;BELIEVE / HEY PELO RECORDS;40;1;2022;01:13:00;Rap français;Believe;24;1
GRAND PRIX;BENJAMIN BIOLAY;POLYDOR;8;1;2020;01:15:00;Pop;Universal music france;18;1
L'ADRESSE;47TER;LABEL ENTRECÔTE;39;1;2019;00:50:53;Rap français;Sony music entertainment;14;0
MENTAL;PLK;PANENKA;36;1;2019;00:59:30;Rap français;Wagram;19;0
NOTRE MEILLEUR ALBUM;MCFLY ET CARLITO;BMG RIGHTS MANAGEMENT;2;1;2021;00:42:24;Variété française;Warner music france;16;0
MR SAL;NISKA;CAPITOL MUSIC FRANCE / MILLENIUM;35;1;2019;01:02:00;Rap français;Universal music france;21;0
LES FAILLES CACHEES;POMME;POLYDOR;9;1;2020;01:07:00;Folk rock;Universal music france;19;1
ON EST FAIT POUR CA;NAPS;BELIEVE / ALL POINTS;25;1;2019;02:02:00;Rap français;Believe;40;0
CYCLORAMA;POLO & PAN;VIRGIN RECORDS FRANCE / EKLER'O'SHOCK;11;1;2021;01:08:00;Electronique;Universal music france;16;0
FIRST NOEL;IBRAHIM MAALOUF;MISTER IBE;2;1;2021;01:13:00;Jazz;Mister ibe;28;0
JORDI;MAROON 5;POLYDOR;8;1;2021;00:43:02;Pop;Universal music france;14;0
WILD WEST;CENTRAL CEE;ADA FRANCE / CENTRAL CEE;4;1;2021;00:38:26;UK drill;;14;0
HEARTBREAK LIFE;KAZA;ELEKTRA FRANCE;44;1;2020;01:10:00;Rap français;Warner music france;23;1
MINUIT;BON ENTENDEUR;COLUMBIA;6;1;2021;00:58:07;Ambient;Sony music entertainment;17;0
OMEGA;OBOY;BELIEVE / 6&7;27;1;2019;00:45:47;Rap français;Believe;15;0
L'ALBUM DE SA VIE - 100 TITRES;GEORGES BRASSENS;LABEL PANTHEON / MERCURY RECORDS;4;1;2021;05:28:00;Variété française;Universal music france;100;0
LES JOURS HEUREUX;JULIEN CLERC;PLAY TWO;2;1;2021;00:49:13;Variété française;Warner music france;14;0
CHAISE PLIANTE - VERSION GOLD;HATIK;ISLAND DEF JAM / BENDO / LOW WOOD;34;1;2020;;Rap français;Universal music france;50;1
SELECTION NATURELLE;KALASH CRIMINEL;BELIEVE / SALE SONORITE RECORDS;5;1;2020;01:20:00;Rap français;Believe;25;1
EMOTIONS;GAUTIER CAPUCON;CATALOGUE MARKETING CLASSIQUE / WARNER CLASSICS;2;1;2020;01:17:00;Musique classique;Warner music france;18;0
MANSA;MHD;CAPITOL MUSIC FRANCE / CAPITOL;5;1;2021;00:50:55;Rap français;Universal music france;15;0
MAP OF THE SOUL: 7;BTS;SONY MUSIC/MEMBRAN;2;1;2020;01:14:00;K-pop;Sony music entertainment;20;1
MELANCHOLIA 999;GREEN MONTANA;CAPITOL MUSIC FRANCE / CAPITOL;6;1;2021;00:24:09;Rap français;;10;0
SINGLES COLLECTION (2001 - 2021);INDOCHINE;RCA GROUP / INDOCHINE RECORDS;3;1;2020;02:50:00;Pop rock;Sony music entertainment;37;0
